Table 1: Age Composition of Indian Shipping Fleet as on 31st December,,,,,,,
Year,,0-5 years,"6-10
years","11-15
years","16-20
years","Above 20
years",Total
2021,No. of Vessels,133,238,295,172,653,1491
,Growth (in %),-5.67,-7.75,12.60,1.18,3.32,1.91
2022,No. of Vessels,132,200,308,208,672,1520
,Growth (in %),-0.75,-15.97,4.41,20.93,2.91,1.95
2023,No. of Vessels,117,157,318,240,694,1526
,Growth (in %),-11.36,-21.50,3.25,15.38,3.27,0.39
2024,No. of Vessels,121,140,295,276,713,1545
,Growth (in %),3.42,-10.83,-7.23,15.00,2.74,1.25
2025,No. of Vessels,129,131,261,327,744,1592
,Growth (in %),6.61,-6.43,-11.53,18.48,4.35,3.04
